title,book_authors,publicationYear,categories
Adventures of Huckleberry Finn,Mark Twain,1885,"Picaresque novel, Bildungsroman, satire, Robinsonade"
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,1982,Young adult novel
Pride and Prejudice,Jane Austen,1813,"Classic regency novel, romance"
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,1950,Travel literature
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,1923,Unfinished satirical dark comedy novel
Where the Wild Things Are,Maurice Sendak,1963,Children's picture book
The Power of Positive Thinking,Norman Vincent Peale,1952,Self-help
The Secret,Rhonda Byrne,2006,Self-help
Fear of Flying,Erica Jong,1973,Romantic novel
Dune,Frank Herbert,1965,Science fiction novel
Charlie and the Chocolate Factory,Roald Dahl,1964,Children's fantasy novel
The Naked Ape,Desmond Morris,1968,"Social Science, Anthropology, Psychology"
Where the Crawdads Sing,Delia Owens,2018,Coming-of-age Murder mystery
"Totto-chan, the Little Girl at the Window (窓ぎわのトットちゃん)",Tetsuko Kuroyanagi,1981,Autobiographical novel
Matilda,Roald Dahl,1988,Children's Literature
The Book Thief,Markus Zusak,2005,Young Adult Fiction
The Horse Whisperer,Nicholas Evans,1995,
Goodnight Moon,Margaret Wise Brown,1947,Children's Literature
The Neverending Story (Die unendliche Geschichte),Michael Ende,1979,Children's Literature
All the Light We Cannot See,Anthony Doerr,2014,"Historical fiction, war novel"
Fifty Shades of Grey,E. L. James,2011,Erotica
The Outsiders,S. E. Hinton,1967,
Guess How Much I Love You,Sam McBratney,1994,
Shōgun,James Clavell,1975,
The Poky Little Puppy,Janette Sebring Lowrey,1942,
The Pillars of the Earth,Ken Follett,1989,Historical fiction
Perfume (Das Parfum),Patrick Süskind,1985,
The Grapes of Wrath,John Steinbeck,1939,
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,2001,
Interpreter of Maladies,Jhumpa Lahiri,2000,
Becoming,Michelle Obama,2018,
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,Science fiction
Tuesdays with Morrie,Mitch Albom,1997,
God's Little Acre,Erskine Caldwell,1933,
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,1994,
A Wrinkle in Time,Madeleine L'Engle,1962,
Long Walk to Freedom,Nelson Mandela,1994,
The Old Man and the Sea,Ernest Hemingway,1952,
Life After Life,Raymond Moody,1975,
Peyton Place ,Grace Metalious,1956,
The Giver,Lois Lowry,1993,Dystopian fiction
Me Before You,Jojo Moyes,2012,
Norwegian Wood (ノルウェイの森),Haruki Murakami,1987,
The Plague (La Peste),Albert Camus,1947,
No Longer Human (人間失格),Osamu Dazai,1948,
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,1946,
The Divine Comedy (La Divina Commedia),Dante Alighieri,1304,
The Prophet,Kahlil Gibran,1923,
The Boy in the Striped Pyjamas,John Boyne,2006,
The Exorcist,William Peter Blatty,1971,Horror
The Gruffalo,Julia Donaldson,1999,
Fifty Shades Darker,E. L. James,2012,Erotica
Tobacco Road,Erskine Caldwell,1932,
"Ronia, the Robber's Daughter",Astrid Lindgren,1981,
The Cat in the Hat,Dr. Seuss,1957,
Diana: Her True Story,Andrew Morton,1992,
The Help,Kathryn Stockett,2009,
Catch-22,Joseph Heller,1961,
The Stranger (L'Étranger),Albert Camus,1942,
Eye of the Needle,Ken Follett,1978,
The Lovely Bones,Alice Sebold,2002,
Wild Swans,Jung Chang,1992,
Santa Evita,Tomás Eloy Martínez,1995,
Night (Un di Velt Hot Geshvign),Elie Wiesel,1958,
Confucius from the Heart (于丹《论语》心得),Yu Dan,2006,
The Total Woman,Marabel Morgan,1974,
Knowledge-value Revolution (知価革命),Taichi Sakaiya,1985,
Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,1979,
What Color Is Your Parachute?,Richard Nelson Bolles,1970,
The Dukan Diet,Pierre Dukan,2000,
The Joy of Sex,Alex Comfort,1972,
The Gospel According to Peanuts,Robert L. Short,1965,
The Subtle Art of Not Giving a Fuck,Mark Manson,2016,
Life of Pi,Yann Martel,2001,
The Front Runner,Patricia Nell Warren,1974,
The Goal,Eliyahu M. Goldratt,1984,
Fahrenheit 451,Ray Bradbury,1953,
Angela's Ashes,Frank McCourt,1996,
The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,1929,
Bridget Jones's Diary,Helen Fielding,1996,
